snapshot_version,property_id,property_name,floor,canonical_name,equipment_type,raw_equipment_type,discrepancy_category,status,in_topics,in_drawings,topics_raw_label,drawing_raw_label,source_files,airRef,chilledWaterRef,hotWaterRef,condenserWaterRef,spaceRef,review_required,review_reason
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,FCU_2-05,FCU,FCU,drawing_only,review_required,false,true,,FCU_02_5,ahu_02c.png;fcu_02_5.png,OAVAV_2-08,CHW-PLANT_1,HW-PLANT_1,,,true,extracted from drawings but absent from BMS topics
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,FCU_2-06,FCU,FCU,drawing_only,review_required,false,true,,FCU_02_6,ahu_02c.png;fcu_02_6.png,,CHW-PLANT_1,HW-PLANT_1,,,true,extracted from drawings but absent from BMS topics
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,FCU_2-07,FCU,FCU,drawing_only,review_required,false,true,,FCU_02_7,ahu_02c.png,,,,,,true,extracted from drawings but absent from BMS topics
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,FCU_2-08,FCU,FCU,drawing_only,review_required,false,true,,FCU_02_8,ahu_02c.png;fcu_02_8.png,,CHW-PLANT_1,HW-PLANT_1,,,true,extracted from drawings but absent from BMS topics
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,FCU_2-09,FCU,FCU,drawing_only,review_required,false,true,,FCU_02_9,ahu_02c.png;fcu_02_9.png,,CHW-PLANT_1,HW-PLANT_1,,,true,extracted from drawings but absent from BMS topics
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,FCU_2-PM_01,FCU,FCU,matched,settled,true,true,FCU_PM_2_01,FCU_PM_02_1,ahu_02c.png,,,,,,false,
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,FPTU_2-01,FPTU,FPTU,matched,settled,true,true,FPTU_02_01,FPTU_2_01,fptu_2_01.png,AHU_2-A,,HW-PLANT_1,,,true,FPTU subtype unresolved: parallel/series and HW/electric require drawing or schedule evidence (FPTU-PARALLEL-HW / FPTU-SERIES-HW / FPTU-PARALLEL-ELEC / FPTU-SERIES-ELEC); airRef AHU_2-A inferred but unconfirmed: FPTU subtype unresolved: parallel/series and HW/electric require drawing or schedule evidence (FPTU-PARALLEL-HW / FPTU-SERIES-HW / FPTU-PARALLEL-ELEC / FPTU-SERIES-ELEC); AHU 02 A widget (DA Temp/DA Flow dashed); WW valve present; hotWaterRef HW-PLANT_1 inferred but unconfirmed: FPTU subtype unresolved: parallel/series and HW/electric require drawing or schedule evidence (FPTU-PARALLEL-HW / FPTU-SERIES-HW / FPTU-PARALLEL-ELEC / FPTU-SERIES-ELEC); WW (hot water) valve points on graphic; single-plant default (Appendix A): one CHW/HW plant instance per building
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,FPTU_2-02,FPTU,FPTU,drawing_only,review_required,false,true,,FPTU_2_02,fptu_2_02.png,AHU_2-A,,HW-PLANT_1,,,true,extracted from drawings but absent from BMS topics; FPTU subtype unresolved: parallel/series and HW/electric require drawing or schedule evidence (FPTU-PARALLEL-HW / FPTU-SERIES-HW / FPTU-PARALLEL-ELEC / FPTU-SERIES-ELEC); airRef AHU_2-A inferred but unconfirmed: FPTU subtype unresolved: parallel/series and HW/electric require drawing or schedule evidence (FPTU-PARALLEL-HW / FPTU-SERIES-HW / FPTU-PARALLEL-ELEC / FPTU-SERIES-ELEC); AHU 02 A widget 54.3F / 2444.1 cfm; WW Vlv 0% Ent 71.8F Lvg 71.7F; hotWaterRef HW-PLANT_1 inferred but unconfirmed: FPTU subtype unresolved: parallel/series and HW/electric require drawing or schedule evidence (FPTU-PARALLEL-HW / FPTU-SERIES-HW / FPTU-PARALLEL-ELEC / FPTU-SERIES-ELEC); WW (hot water) valve points on graphic; single-plant default (Appendix A): one CHW/HW plant instance per building
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,FPTU_2-03,FPTU,FPTU,drawing_only,review_required,false,true,,FPTU_2_03,fptu_02_3.png,AHU_2-A,,HW-PLANT_1,,,true,extracted from drawings but absent from BMS topics; FPTU subtype unresolved: parallel/series and HW/electric require drawing or schedule evidence (FPTU-PARALLEL-HW / FPTU-SERIES-HW / FPTU-PARALLEL-ELEC / FPTU-SERIES-ELEC); airRef AHU_2-A inferred but unconfirmed: FPTU subtype unresolved: parallel/series and HW/electric require drawing or schedule evidence (FPTU-PARALLEL-HW / FPTU-SERIES-HW / FPTU-PARALLEL-ELEC / FPTU-SERIES-ELEC); AHU 02 A widget 54.5F / 2444.1 cfm; WW Vlv 0% Ent 72.6F Lvg 72.8F; note filename says 02_3 but page title is FPTU_2_03; hotWaterRef HW-PLANT_1 inferred but unconfirmed: FPTU subtype unresolved: parallel/series and HW/electric require drawing or schedule evidence (FPTU-PARALLEL-HW / FPTU-SERIES-HW / FPTU-PARALLEL-ELEC / FPTU-SERIES-ELEC); WW (hot water) valve points on graphic; single-plant default (Appendix A): one CHW/HW plant instance per building
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,FPTU_2-04,FPTU,FPTU,drawing_only,review_required,false,true,,FPTU_2_04,fptu_02_4.png,AHU_2-A,,HW-PLANT_1,,,true,extracted from drawings but absent from BMS topics; FPTU subtype unresolved: parallel/series and HW/electric require drawing or schedule evidence (FPTU-PARALLEL-HW / FPTU-SERIES-HW / FPTU-PARALLEL-ELEC / FPTU-SERIES-ELEC); airRef AHU_2-A inferred but unconfirmed: FPTU subtype unresolved: parallel/series and HW/electric require drawing or schedule evidence (FPTU-PARALLEL-HW / FPTU-SERIES-HW / FPTU-PARALLEL-ELEC / FPTU-SERIES-ELEC); AHU 02 A widget 54.5F / 2444.1 cfm; WW Vlv 0% Ent 72.1F Lvg 71.9F; hotWaterRef HW-PLANT_1 inferred but unconfirmed: FPTU subtype unresolved: parallel/series and HW/electric require drawing or schedule evidence (FPTU-PARALLEL-HW / FPTU-SERIES-HW / FPTU-PARALLEL-ELEC / FPTU-SERIES-ELEC); WW (hot water) valve points on graphic; single-plant default (Appendix A): one CHW/HW plant instance per building
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,FPTU_2-05,FPTU,FPTU,drawing_only,review_required,false,true,,FPTU_2_05,fptu_02_5.png,AHU_2-A,,HW-PLANT_1,,,true,extracted from drawings but absent from BMS topics; FPTU subtype unresolved: parallel/series and HW/electric require drawing or schedule evidence (FPTU-PARALLEL-HW / FPTU-SERIES-HW / FPTU-PARALLEL-ELEC / FPTU-SERIES-ELEC); airRef AHU_2-A inferred but unconfirmed: FPTU subtype unresolved: parallel/series and HW/electric require drawing or schedule evidence (FPTU-PARALLEL-HW / FPTU-SERIES-HW / FPTU-PARALLEL-ELEC / FPTU-SERIES-ELEC); AHU 02 A widget 54.5F / 2444.1 cfm; WW Vlv 0% Ent 73.6F Lvg 73.7F; hotWaterRef HW-PLANT_1 inferred but unconfirmed: FPTU subtype unresolved: parallel/series and HW/electric require drawing or schedule evidence (FPTU-PARALLEL-HW / FPTU-SERIES-HW / FPTU-PARALLEL-ELEC / FPTU-SERIES-ELEC); WW (hot water) valve points on graphic; single-plant default (Appendix A): one CHW/HW plant instance per building
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,OAVAV_1_2,OAVAV,OAVAV,floor_ambiguous,floor_ambiguous,true,false,OAVAV_1_02,,,,,,,,true,path=Floor_02 but unit name carries _1_ token; W3 drawings label these _02_; supervisor clarification pending; floor contested; canonical name preserved as key pending floor ruling
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,OAVAV_1_3,OAVAV,OAVAV,floor_ambiguous,floor_ambiguous,true,false,OAVAV_1_03,,,,,,,,true,path=Floor_02 but unit name carries _1_ token; W3 drawings label these _02_; supervisor clarification pending; floor contested; canonical name preserved as key pending floor ruling
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,OAVAV_1_4,OAVAV,OAVAV,floor_ambiguous,floor_ambiguous,true,false,OAVAV_1_04,,,,,,,,true,path=Floor_02 but unit name carries _1_ token; W3 drawings label these _02_; supervisor clarification pending; floor contested; canonical name preserved as key pending floor ruling
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,OAVAV_1_5,OAVAV,OAVAV,floor_ambiguous,floor_ambiguous,true,false,OAVAV_1_05,,,,,,,,true,path=Floor_02 but unit name carries _1_ token; W3 drawings label these _02_; supervisor clarification pending; floor contested; canonical name preserved as key pending floor ruling
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,OAVAV_1_7,OAVAV,OAVAV,floor_ambiguous,floor_ambiguous,true,false,OAVAV_1_07,,,,,,,,true,path=Floor_02 but unit name carries _1_ token; W3 drawings label these _02_; supervisor clarification pending; floor contested; canonical name preserved as key pending floor ruling
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,OAVAV_2-01,OAVAV,OAVAV,matched,settled,true,true,OAVAV_2_01,OAVAV_02_01,ahu_02c_2.png,DOAS_22_1,,,,,false,
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,OAVAV_2-10,OAVAV,OAVAV,topics_only,review_required,true,false,OAVAV_2_10,,,,,,,,true,present in BMS topics but absent from drawing evidence
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,OAVAV_2-02,OAVAV,OAVAV,matched,settled,true,true,OAVAV_2_02,OAVAV_02_02,ahu_02c_2.png,,,,,,false,
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,OAVAV_2-03,OAVAV,OAVAV,topics_only,review_required,true,false,OAVAV_2_03,,,,,,,,true,present in BMS topics but absent from drawing evidence
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,OAVAV_2-04,OAVAV,OAVAV,topics_only,review_required,true,false,OAVAV_2_04,,,DOAS_22_1,,,,,true,present in BMS topics but absent from drawing evidence; airRef DOAS_22_1 inferred but unconfirmed: extrapolated: every observed OAVAV page links to this DOAS; this page has not been captured — confirm before approval
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,OAVAV_2-05,OAVAV,OAVAV,topics_only,review_required,true,false,OAVAV_2_05,,,DOAS_22_1,,,,,true,present in BMS topics but absent from drawing evidence; airRef DOAS_22_1 inferred but unconfirmed: extrapolated: every observed OAVAV page links to this DOAS; this page has not been captured — confirm before approval
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,OAVAV_2-06,OAVAV,OAVAV,topics_only,review_required,true,false,OAVAV_2_06,,,DOAS_22_1,,,,,true,present in BMS topics but absent from drawing evidence; airRef DOAS_22_1 inferred but unconfirmed: extrapolated: every observed OAVAV page links to this DOAS; this page has not been captured — confirm before approval
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,OAVAV_2-07,OAVAV,OAVAV,topics_only,review_required,true,false,OAVAV_2_07,,,DOAS_22_1,,,,,true,present in BMS topics but absent from drawing evidence; airRef DOAS_22_1 inferred but unconfirmed: extrapolated: every observed OAVAV page links to this DOAS; this page has not been captured — confirm before approval
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,OAVAV_2-08,OAVAV,OAVAV,topics_only,review_required,true,false,OAVAV_2_08,,,DOAS_22_1,,,,,true,present in BMS topics but absent from drawing evidence; airRef DOAS_22_1 inferred but unconfirmed: extrapolated: every observed OAVAV page links to this DOAS; this page has not been captured — confirm before approval
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,OAVAV_2-09,OAVAV,OAVAV,topics_only,review_required,true,false,OAVAV_2_09,,,DOAS_22_1,,,,,true,present in BMS topics but absent from drawing evidence
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,VAV-RH-HW_2-01,VAV-RH-HW,VAVRH,matched,settled,true,true,VAVRH_2_01,VAVRH_2_1,AHU_02A.png;VAVRH_2_1.png;ahu_02c.png;ahu_02c_2.png;fcu_02_2.png;fcu_02_8.png;fcu_02_9.png;fptu_02_5.png,,,,,,true,reheat source assumed hot-water (supervisor: VAVRH most commonly HW); confirm against VAV-RH-ELEC; airRef conflict: AHU tag ambiguous on sheet (AHU-01 vs AHU_02A reading)
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,VAV-RH-HW_2-02,VAV-RH-HW,VAVRH,topics_only,review_required,true,false,VAVRH_2_02,,,,,,,,true,present in BMS topics but absent from drawing evidence; reheat source assumed hot-water (supervisor: VAVRH most commonly HW); confirm against VAV-RH-ELEC
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,VAV-RH-HW_2-03,VAV-RH-HW,VAVRH,topics_only,review_required,true,false,VAVRH_2_03,,,,,,,,true,present in BMS topics but absent from drawing evidence; reheat source assumed hot-water (supervisor: VAVRH most commonly HW); confirm against VAV-RH-ELEC
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,VAV-RH-HW_2-04,VAV-RH-HW,VAVRH,topics_only,review_required,true,false,VAVRH_2_04,,,,,,,,true,present in BMS topics but absent from drawing evidence; reheat source assumed hot-water (supervisor: VAVRH most commonly HW); confirm against VAV-RH-ELEC
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,VAV-RH-HW_2-05,VAV-RH-HW,VAVRH,topics_only,review_required,true,false,VAVRH_2_05,,,,,,,,true,present in BMS topics but absent from drawing evidence; reheat source assumed hot-water (supervisor: VAVRH most commonly HW); confirm against VAV-RH-ELEC
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,VAV_2-01,VAV,VAV,matched,settled,true,true,VAV_2_01,VAV_2_01,ahu_02c.png;vav_2_1.png,AHU_2-A,,,,,false,
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,VAV_2-02,VAV,VAV,matched,review_required,true,true,VAV_02_02,VAV_2_02,ahu_02c.png,,,,,,true,weak_topic_evidence
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,VAV_2-03,VAV,VAV,drawing_only,review_required,false,true,,VAV_2_03,ahu_02c.png,,,,,,true,extracted from drawings but absent from BMS topics
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,VAV_2-04,VAV,VAV,drawing_only,review_required,false,true,,VAV_2_04,ahu_02c.png,,,,,,true,extracted from drawings but absent from BMS topics
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,VAV_2-05,VAV,VAV,matched,review_required,true,true,VAV_02_05,VAV_2_05,VAV_2_05.png;ahu_02c.png,AHU_2-A,,,,,true,weak_topic_evidence
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,VAV_2-06,VAV,VAV,matched,settled,true,true,VAV_02_06,VAV_2_06,ahu_02c.png,,,,,,false,
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,VAV_2-07,VAV,VAV,drawing_only,review_required,false,true,,VAV_2_07,ahu_02c.png,,,,,,true,extracted from drawings but absent from BMS topics
